"hotelid","cityid","starclass","nbrooms","amenities","reviews","pageurl","rank","prices","direction","lat","lon","partition_0","process_date"
"2679712","294305","4,5","20","Estacionamiento gratis,Estacionamiento vigilado,Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Alquiler de autos,Hotel para no fumadores,Recepción disponible las 24 horas,Servicio de planchado,Internet gratuito,Wifi,Wifi público,Internet,Desayuno disponible,Desayuno tipo bufé,Caja fuerte,Sala de estar,Sofá,Teléfono,Microondas,Refrigerador,TV pantalla plana,Productos de tocador de cortesía,Servicio de despertador/Reloj despertador,Utensilios de cocina,Habitaciones para no fumadores,Suites","345 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d2679712-Reviews-Heidelberg_Haus_Apart_Hotel-Santiago_Santiago_Metropolitan_Region.html","N.º 46","N,A","Los Nogales 843, Santiago 7510348 Chile, Santiago","-33.42794412545442","-70.60453921816024","Chile","2020-01-12"
"654594","294305","4,0","28","Internet de alta velocidad gratuito (WiFi),Internet gratuito,Wifi,Piscina,Desayuno gratis,Bar/Salón,Alquiler de bicicletas,Servicio de lavandería,Wifi público,Internet,Desayuno tipo bufé,Bar junto a la piscina,Habitaciones para no fumadores,Suites,Habitaciones para familias","901 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d654594-Reviews-Happy_House_Hostel-Santiago_Santiago_Metropolitan_Region.html","N.º 18","N,A","Moneda 1829, Santiago 8340493 Chile, Santiago","-33.443068082499366","-70.6630577531769","Chile","2020-01-12"
"304936","294305","4,0","190","Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Alquiler de autos,Instalaciones para conferencias,Salas de reuniones,Almacenamiento de equipaje,Conserje,Estacionamiento gratuito privado cercano,Garaje de estacionamientos,Estacionamiento vigilado,Internet gratuito,Wifi,Wifi público,Internet,Restaurante,Desayuno tipo bufé,Desayuno en la habitación,Fax/Fotocopiadora,Cambio de divisas,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Habitación libre de alérgenos,Habitaciones insonorizadas,Aire acondicionado,Servicio de limpieza,Servicio a la habitación,Caja fuerte,Minibar,TV pantalla plana,Teléfono,Habitaciones para no fumadores,Suites,Habitaciones para familias","1.383 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d304936-Reviews-Hotel_Panamericano-Santiago_Santiago_Metropolitan_Region.html","N.º 68","$43.132,$42.894,$42.110","Teatinos 320 Esquina Huérfanos, Santiago 8340416 Chile, Santiago","-33.440049","-70.65522","Chile","2020-01-12"
"6003092","294305","4,5","276","Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Garaje de estacionamientos,Estacionamiento,Internet gratuito,Wifi,Wifi público,Internet,Piscina en la terraza,Piscina cubierta,Piscina al aire libre,Piscina climatizada,Sauna,Bar/Salón,Restaurante,Desayuno tipo bufé,Bar de aperitivos,Salón de banquetes,Salas de reuniones,Spa,Masaje,Terraza en la azotea,Almacenamiento de equipaje,Conserje,Cambio de divisas,Hotel para no fumadores,Check-in las 24 horas,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Servicio de limpieza,Servicio a la habitación,Caja fuerte,Caja de seguridad para computadora portátil,Minibar,Refrigerador,TV pantalla plana,Servicio de despertador/Reloj despertador,Habitaciones para no fumadores,Suites,Habitaciones para familias","2.392 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d6003092-Reviews-Hotel_Plaza_El_Bosque_Nueva_Las_Condes-Santiago_Santiago_Metropolitan_Region.html","N.º 30","$58.806,$57.438,$55.780","Avenida Manquehue Norte 656, Santiago 8320000 Chile, Santiago","-33.40261236897646","-70.56971378324221","Chile","2020-01-12"
"316254","294305","4,0","63","Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Desayuno gratis,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Conserje,Limpieza en seco,Internet gratuito,Wifi,Internet,Piscina al aire libre,Bar/Salón,Restaurante,Desayuno disponible,Desayuno tipo bufé,Salón de banquetes,Salas de reuniones,Servicio de lavandería,Aire acondicionado,Servicio a la habitación,Caja fuerte,Minibar,TV pantalla plana,Habitaciones para no fumadores,Suites","608 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d316254-Reviews-Hotel_Bonaparte-Santiago_Santiago_Metropolitan_Region.html","N.º 70","$51.888,$43.901","Mar del Plata 2171, Santiago 7510574 Chile, Santiago","-33.43243397198328","-70.60611539272321","Chile","2020-01-12"
"1597207","294305","4,5","75","Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Sala de juegos,Entretenimiento nocturno,Servicio de taxi,Fax/Fotocopiadora,Seguridad las 24 horas,Instalaciones para hacer parrillas,Internet gratuito,Wifi,Wifi público,Internet,Bar/Salón,Cafetería,Desayuno disponible,Desayuno tipo bufé,Happy Hour,Máquina expendedora,Almacenamiento de equipaje,Cocina compartida,Sala de estar o con TV compartida,Recepción disponible las 24 horas,Servicio de lavandería,Lavandería de autoservicio,Servicio de limpieza,Caja fuerte,Habitaciones para no fumadores,Suites,Habitaciones para familias","1.401 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d1597207-Reviews-Hostal_Providencia-Santiago_Santiago_Metropolitan_Region.html","N.º 6","$31.294,$29.713,$24.728","Vicuña Mackenna 92 4 pasajes al sur de Metro Baquedano, Plaza Italia, Santiago Chile, Santiago","-33.43721999999997","-70.65001999999998","Chile","2020-01-12"
"5269996","294305","4,5","181","Estacionamiento,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Alquiler de autos,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Internet gratuito,Wifi,Internet,Piscina al aire libre,Sauna,Restaurante,Desayuno disponible,Desayuno tipo bufé,Bar junto a la piscina,Bar en la terraza,Salón de banquetes,Salas de reuniones,Spa,Terraza en la azotea,Conserje,Servicio de mayordomo,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de limpieza,Servicio a la habitación,Caja fuerte,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias","1.272 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d5269996-Reviews-Renaissance_Santiago_Hotel-Santiago_Santiago_Metropolitan_Region.html","N.º 20","N,A","Avenida Presidente Kennedy 4700 Vitacura, Santiago 7630454 Chile, Santiago","-33.40296599388316","-70.58431168166075","Chile","2020-01-12"
"5768688","294305","4,5","13","Internet de alta velocidad gratuito (WiFi),Internet gratuito,Desayuno gratis,Desayuno tipo bufé,Transporte al aeropuerto,Alquiler de autos,Hotel para no fumadores,Servicio de lavandería,Wifi,Wifi público,Internet,Habitaciones para no fumadores,Habitaciones para familias,Caja fuerte,TV pantalla plana,Bañera/Ducha","290 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d5768688-Reviews-De_Blasis_Bed_Breakfast-Santiago_Santiago_Metropolitan_Region.html","N.º 2","$33.623,$35.154","General Flores 159, Santiago 7500514 Chile, Santiago","-33.42657871412088","-70.61966254065443","Chile","2020-01-12"
"1750067","294305","4,0","70","Garaje de estacionamientos,Internet de alta velocidad gratuito (WiFi),Piscina para adultos,Gimnasio / Sala de entrenamiento,Desayuno gratis,Almacenamiento de equipaje,Conserje,Recepción disponible las 24 horas,Internet gratuito,Wifi,Internet,Piscina al aire libre,Desayuno en la habitación,Habitaciones para no fumadores,Aire acondicionado,Balcón privado,Caja fuerte,Caja de seguridad para computadora portátil,Kitchenette,TV pantalla plana,Secador de pelo,Microondas,Refrigerador,Utensilios de cocina","1.052 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d1750067-Reviews-RQ_Providencia-Santiago_Santiago_Metropolitan_Region.html","N.º 65","N,A","Diego de Velásquez 2087 Local 2, Santiago 8320000 Chile, Santiago","-33.4240137238444","-70.6107316537596","Chile","2020-01-12"
"2679712","294305","4,5","20","Estacionamiento gratis,Estacionamiento vigilado,Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Alquiler de autos,Hotel para no fumadores,Recepción disponible las 24 horas,Servicio de planchado,Internet gratuito,Wifi,Wifi público,Internet,Desayuno disponible,Desayuno tipo bufé,Caja fuerte,Sala de estar,Sofá,Teléfono,Microondas,Refrigerador,TV pantalla plana,Productos de tocador de cortesía,Servicio de despertador/Reloj despertador,Utensilios de cocina,Habitaciones para no fumadores,Suites","345 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d2679712-Reviews-Heidelberg_Haus_Apart_Hotel-Santiago_Santiago_Metropolitan_Region.html","N.º 46","N,A","Los Nogales 843, Santiago 7510348 Chile, Santiago","-33.42794412545442","-70.60453921816024","Chile","2020-01-12"
